step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos_raw,desired_pos,part_gap,part_pen,reward
1,14.17,-0.008397480755773214,-1.0,0.4724907962705793,0.8,0.4724907962705793,0.4724907962705793,0.5724907962705793,0.4724907962705793,-0.09999999999999998,0.0,0.5724907962705793,0,0,-0.004807480444539473,9.999999999999998e-05,0.9950925195554605,1.0,0.00490748044453948,0.00490748044453948,0.0,0.0,0.37211901757587657,0.0,0.0,-0.005105183577940427
2,13.47,-0.04940014114326036,-1.0,0.37249079627057935,0.8,0.37249079627057935,0.37249079627057935,0.4724907962705793,0.37249079627057935,-0.09999999999999998,0.0,0.4724907962705793,0,0,-0.023341112024658092,9.999999999999998e-05,0.9717664443296617,1.0,0.02823355567033825,0.02332607522579877,0.0,0.0,0.2418773614243198,0.0,0.0,-0.04629026671410411
3,14.78,0.09725315515961386,-1.0,0.27249079627057937,0.7588322196166079,0.27249079627057937,0.27249079627057937,0.37249079627057935,0.27249079627057937,-0.09999999999999998,0.0,0.37249079627057935,0,0,0.036225905205230766,9.999999999999998e-05,1.0068723867791392,1.0068723867791392,0.0,0.0,0.0,0.0,0.15722028492580786,0.0,0.0,0.035917599862934746
4,14.44,-0.0230040595399188,-1.0,0.17249079627057937,0.8,0.17249079627057937,0.17249079627057937,0.27249079627057937,0.17249079627057937,-0.1,0.0,0.27249079627057937,0,0,-0.006268394501488292,0.0001,1.0004602262074744,1.0068723867791392,0.006368394501488345,0.006368394501488345,0.14963265185447233,0.11970612148357787,0.14409032772102737,0.0,0.0,-0.01000494978267484
5,14.66,0.015235457063711957,-1.0,0.07249079627057936,0.8,0.07249079627057936,0.07249079627057936,0.17249079627057937,0.07249079627057936,-0.1,0.0,0.17249079627057937,0,0,0.0026279761204658983,0.0001,1.002989365768803,1.0068723867791392,0.0038565175302478247,0.0,0.02064851611415025,0.016518812891320202,0.09944029753062987,0.02694950126005051,0.0002465875574341112,0.0014578922781628705
6,14.51,-0.010231923601637131,-1.0,0.0,0.8,0.0,0.0,0.07249079627057936,0.0,-0.07249079627057936,0.0,0.07249079627057936,0,0,-0.0007417202892624099,7.249079627057936e-05,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0008110710662083223,0.06011938610801598,0.048095508886412786,0.0814696215051539,0.0814696215051539,0.0014477151020704931,-0.004384081637847513
7,14.03,-0.033080634045485904,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.05251419962927925,0.0420113597034234,0.06765922987454823,0.06765922987454823,0.0010755070641009152,-0.00274557012266418
8,13.75,-0.0199572344975053,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.06746873133578983,0.05397498506863187,0.0628697441924775,0.0628697441924775,0.0009563055940033946,-0.0030877159557125104
9,14.12,0.02690909090909085,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.04086533372511038,0.04086533372511038,0.00048001860099441317,-0.0005300186009944131
10,14.07,-0.0035410764872520492,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.026562466921321748,0.026562466921321748,0.00024094584277817757,-0.00029094584277817757
11,14.88,0.05756929637526656,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.017265603498859135,0.017265603498859135,0.00012094301977427316,-0.00017094301977427315
